,MSE,Regret,Relative Regret,Optimal
0,0.9019802746169517,0.0,0.0,1.0
1,0.6174726438712497,0.0,0.0,1.0
2,2.8482491619473875,0.0,0.0,1.0
3,0.5954199136511107,0.0,0.0,1.0
4,11.305821197099775,0.0,0.0,1.0
5,1.2070829070458444,0.0,0.0,1.0
6,0.6830651978656407,0.0,0.0,1.0
7,0.9942390363766009,1.0,0.12499999843750002,0.0
8,0.5813195817705405,1.0,0.07142857091836735,0.0
9,3.9588196019289854,0.0,0.0,1.0
10,3.261794628443613,3.0,0.23076922899408286,0.0
11,4.638979416957011,0.0,0.0,1.0
12,2.3719762290739035,0.0,0.0,1.0
13,4.086749526565745,0.0,0.0,1.0
14,0.25051094506113164,0.0,0.0,1.0
15,1.7470525898169398,0.0,0.0,1.0
16,1.5396860691068215,1.0,0.16666666388888893,0.0
17,0.8594043377015538,0.0,0.0,1.0
18,0.44481115985214503,0.0,0.0,1.0
19,1.3311923135945563,0.0,0.0,1.0
20,6.975731437072182,3.0,0.2499999979166667,0.0
21,0.9418649071817186,0.0,0.0,1.0
22,1.0253891491167486,0.0,0.0,1.0
23,2.032580056501365,3.0,0.12499999947916667,0.0
24,16.214537493521174,0.0,0.0,1.0
25,2.5967252046488283,0.0,0.0,1.0
26,0.6640023930287413,0.0,0.0,1.0
27,2.163785508447211,0.0,0.0,1.0
28,1.358925249994631,0.0,0.0,1.0
29,1.1361979756763776,0.0,0.0,1.0
30,1.552742777074042,0.0,0.0,1.0
31,10.345707594882617,0.0,0.0,1.0
32,0.3328274289792326,1.0,0.11111110987654323,0.0
33,1.0809738082659408,0.0,0.0,1.0
34,0.6896024142530871,0.0,0.0,1.0
35,24.169390808773095,0.0,0.0,1.0
36,1.5183369546893855,0.0,0.0,1.0
37,1.080163914232731,0.0,0.0,1.0
38,1.1973685911125358,0.0,0.0,1.0
39,2.0883478696107884,0.0,0.0,1.0
40,1.1493788326026901,2.0,0.11764705813148789,0.0
41,2.411093533352505,0.0,0.0,1.0
42,3.5929753983425856,0.0,0.0,1.0
43,0.8995943148571094,0.0,0.0,1.0
44,5.449978579036906,0.0,0.0,1.0
45,1.3010051751123457,0.0,0.0,1.0
46,0.41706426182193246,0.0,0.0,1.0
47,0.9904627428203725,0.0,0.0,1.0
48,0.9781754340108251,0.0,0.0,1.0
49,4.769230766322546,1.0,0.05555555524691358,0.0
50,1.7499442924995265,3.0,0.187499998828125,0.0
51,1.9582541390351735,0.0,0.0,1.0
52,0.7441437244308304,0.0,0.0,1.0
53,3.0358114982833557,2.0,0.24999999687500005,0.0
54,0.8135653512323537,2.0,0.19999999800000004,0.0
55,5.229617431643055,0.0,0.0,1.0
56,0.9974261267198585,0.0,0.0,1.0
57,2.699739826718532,0.0,0.0,1.0
58,1.1170007099406338,0.0,0.0,1.0
59,1.8899815449288393,0.0,0.0,1.0
60,0.575675032909766,0.0,0.0,1.0
61,0.9550486141762194,0.0,0.0,1.0
62,0.6009536637129316,0.0,0.0,1.0
63,7.068016543513124,0.0,0.0,1.0
64,3.119521626404321,2.0,0.1428571418367347,0.0
65,0.8439855905375182,0.0,0.0,1.0
66,19.136793537462108,5.0,0.13513513476990505,0.0
67,0.7261109312897789,0.0,0.0,1.0
68,4.256611250492142,0.0,0.0,1.0
69,1.2689942431352563,0.0,0.0,1.0
70,1.4065050721580206,0.0,0.0,1.0
71,4.189876428724711,0.0,0.0,1.0
72,7.195546507865368,0.0,0.0,1.0
73,1.5193677873482792,0.0,0.0,1.0
74,1.112024197623713,0.0,0.0,1.0
75,1.0278507393580447,1.0,0.14285714081632656,0.0
76,3.1544628896812883,0.0,0.0,1.0
77,1.4099880344925908,1.0,0.11111110987654323,0.0
78,1.9040279493649108,0.0,0.0,1.0
79,4.062260352222168,0.0,0.0,1.0
80,0.7731443774487443,0.0,0.0,1.0
81,0.9034963507182987,0.0,0.0,1.0
82,1.8164655118589876,0.0,0.0,1.0
83,1.2921315602799237,0.0,0.0,1.0
84,0.35531592468373674,0.0,0.0,1.0
85,0.6386803245212114,0.0,0.0,1.0
86,3.619249685987166,0.0,0.0,1.0
87,7.899417184455172,1.0,0.14285714081632656,0.0
88,0.7822030521436865,1.0,0.24999999375000015,0.0
89,1.2682256712398186,0.0,0.0,1.0
90,0.8013660375390124,0.0,0.0,1.0
91,1.1024332168643731,0.0,0.0,1.0
92,0.37340010748596075,0.0,0.0,1.0
93,1.1610623846672936,0.0,0.0,1.0
94,0.8408664707756216,0.0,0.0,1.0
95,1.0082430566054223,0.0,0.0,1.0
96,3.8679128101787796,0.0,0.0,1.0
97,3.589239010050163,0.0,0.0,1.0
98,1.522268440231801,0.0,0.0,1.0
99,1.5167129241427175,0.0,0.0,1.0
