,Method,MSE,Med MSE,SINGLE 1 Avg Regret,SINGLE 1 Med Regret,SINGLE 1 Avg Relative Regret,SINGLE 1 Med Relative Regret,SINGLE 1 Optimality Rate,SINGLE 2 Avg Regret,SINGLE 2 Med Regret,SINGLE 2 Avg Relative Regret,SINGLE 2 Med Relative Regret,SINGLE 2 Optimality Rate,SINGLE 3 Avg Regret,SINGLE 3 Med Regret,SINGLE 3 Avg Relative Regret,SINGLE 3 Med Relative Regret,SINGLE 3 Optimality Rate,MULTI 1 Avg Regret,MULTI 1 Med Regret,MULTI 1 Avg Relative Regret,MULTI 1 Med Relative Regret,MULTI 1 Optimality Rate,Elapsed,Elapsed Val
0,separated+mse,"[5.307654964067501, 5.438988263363623, 5.263393290569946, 5.408962395627493]","[2.8136462946735135, 2.7980181823611847, 2.674922419216201, 2.810080938959901]",2.791,2.0,0.06896551700356718,0.08042278315268452,0.234,2.992,2.0,0.07827818613658115,0.09314968199639569,0.268,2.742,2.0,0.07142857117346939,0.09053666115149013,0.272,2.804,2.0,0.0869565213610586,0.10024196748593621,0.27,15.612142324447632,4.679467439651489
1,comb+mse,7.877509288269872,3.178124252582971,2.935,2.0,0.08114924017340115,0.08114924017340115,0.219,2.939,2.0,0.09206513335575216,0.09206513335575216,0.265,2.82,2.0,0.09306945699774238,0.09306945699774238,0.267,2.944,2.0,0.10175019597116022,0.10175019597116022,0.256,13.184418201446533,4.182957887649536
2,gradnorm+mse,7.823940885494309,3.3575730349916633,2.868,2.0,0.08193568899815416,0.08193568899815416,0.222,3.011,2.0,0.09466999894230399,0.09466999894230399,0.247,2.941,2.0,0.09816903480515686,0.09816903480515686,0.253,2.955,2.0,0.10456263556386432,0.10456263556386432,0.255,14.397934198379517,4.336910963058472
