,Method,MSE,Med MSE,SINGLE 1 Avg Regret,SINGLE 1 Med Regret,SINGLE 1 Avg Relative Regret,SINGLE 1 Med Relative Regret,SINGLE 1 Optimality Rate,SINGLE 2 Avg Regret,SINGLE 2 Med Regret,SINGLE 2 Avg Relative Regret,SINGLE 2 Med Relative Regret,SINGLE 2 Optimality Rate,SINGLE 3 Avg Regret,SINGLE 3 Med Regret,SINGLE 3 Avg Relative Regret,SINGLE 3 Med Relative Regret,SINGLE 3 Optimality Rate,MULTI 1 Avg Regret,MULTI 1 Med Regret,MULTI 1 Avg Relative Regret,MULTI 1 Med Relative Regret,MULTI 1 Optimality Rate,Elapsed,Elapsed Val
0,separated,"[13.172421388918202, 13.019769087030532, 11.540408520031301, 12.46479612354722]","[5.081495807081043, 4.805832597706148, 4.487260758786379, 4.844119930630297]",0.638,0.0,0.0,0.03965250596242646,0.67,0.656,0.0,0.0,0.03924133734909753,0.651,0.535,0.0,0.0,0.03294486286469644,0.694,0.634,0.0,0.0,0.038264505475722584,0.686,10.903130292892456,8.96605372428894
1,comb,11.322981828378598,4.227644322204412,0.514,0.0,0.03134917658542916,0.03134917658542916,0.705,0.514,0.0,0.03134917658542916,0.03134917658542916,0.705,0.514,0.0,0.03134917658542916,0.03134917658542916,0.705,0.474,0.0,0.029582471432846234,0.029582471432846234,0.736,10.136993408203125,10.447548627853394
2,gradnorm,12.937380632409345,4.721167160092685,0.52,0.0,0.03178268321877179,0.03178268321877179,0.704,0.52,0.0,0.03178268321877179,0.03178268321877179,0.704,0.52,0.0,0.03178268321877179,0.03178268321877179,0.704,0.482,0.0,0.029294921836699805,0.029294921836699805,0.74,8.655107498168945,7.814468145370483
