,Method,MSE,Med MSE,SINGLE 1 Avg Regret,SINGLE 1 Med Regret,SINGLE 1 Avg Relative Regret,SINGLE 1 Med Relative Regret,SINGLE 1 Optimality Rate,SINGLE 2 Avg Regret,SINGLE 2 Med Regret,SINGLE 2 Avg Relative Regret,SINGLE 2 Med Relative Regret,SINGLE 2 Optimality Rate,SINGLE 3 Avg Regret,SINGLE 3 Med Regret,SINGLE 3 Avg Relative Regret,SINGLE 3 Med Relative Regret,SINGLE 3 Optimality Rate,MULTI 1 Avg Regret,MULTI 1 Med Regret,MULTI 1 Avg Relative Regret,MULTI 1 Med Relative Regret,MULTI 1 Optimality Rate,Elapsed,Elapsed Val
0,separated+mse,"[11.56723723274277, 11.660573478582792, 12.235571908868948, 12.459089119528572]","[7.442979539355213, 7.528733714867816, 7.948916293938391, 8.092887126565389]",9.229,7.0,0.24137930951248512,0.2594040850181887,0.027,9.082,7.0,0.283582089128982,0.2959939946149125,0.035,8.683,7.0,0.2777777766203704,0.29552510834940515,0.042,8.804,7.0,0.28571428469387755,0.3057469629908336,0.041,24.55906391143799,63.402512311935425
1,comb+mse,18.364479904581852,8.654739210175826,10.206,8.0,0.28465028798344544,0.28465028798344544,0.013,9.423,7.0,0.3010913109872667,0.3010913109872667,0.026,9.364,7.0,0.312762637483414,0.312762637483414,0.028,9.307,7.0,0.32262662141849663,0.32262662141849663,0.041,2.534111738204956,8.040550470352173
2,gradnorm+mse,18.33508337668,8.686605387997314,9.934,7.0,0.2700361773702373,0.2700361773702373,0.03,9.142,7.0,0.29225963415521367,0.29225963415521367,0.019,8.864,7.0,0.2968976453965288,0.2968976453965288,0.024,8.613,7.0,0.298985130646063,0.298985130646063,0.037,2.7935941219329834,8.418697357177734
