,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,Elapsed,Elapsed Val
0,mse,8.47494842661915,6.267578328844663,1.6158458000000002,7.105427357601002e-15,0.05891604610348264,0.05891604610348264,0.511,0.9115571,0.0,0.051133245080235964,0.051133245080235964,0.725,2.5210846999999994,1.0343999999999998,0.14672376217305658,0.14672376217305658,0.424,4.901589700000001,4.755050000000001,0.1299213482063421,0.1299213482063421,0.002,2.265455722808838,0.17624664306640625
1,separated+mse,"[9.229392978461433, 9.333835486991761, 9.43145506972792, 9.520105849672614]","[7.018093169383255, 7.013937401264624, 7.116335027585212, 7.138865160490379]",1.0238862000000002,3.552713678800501e-15,1.2699463690216058e-16,0.034225560805549164,0.619,0.6120385,0.0,0.0,0.03392445335136531,0.764,1.3300747999999998,0.0,0.0,0.074871505998988,0.583,3.8787249000000004,3.5996999999999986,0.09516018392593581,0.10260417225620841,0.022,287.0101456642151,57.066264629364014
2,comb+mse,11.533078103803934,8.881804725804287,0.9958608000000001,3.552713678800501e-15,0.03349978477254214,0.03349978477254214,0.615,0.5498404,0.0,0.030115528579136488,0.030115528579136488,0.765,1.3698869,0.0,0.07784149309071771,0.07784149309071771,0.574,4.189683800000001,3.9226499999999973,0.11090301168334167,0.11090301168334167,0.015,247.84857201576233,47.34240126609802
3,gradnorm+mse,9.197864122992684,6.694575433654857,0.9712723000000002,3.552713678800501e-15,0.0334029385228798,0.0334029385228798,0.622,0.5826087,0.0,0.03203413152873276,0.03203413152873276,0.774,1.2649082999999999,0.0,0.07262301240194509,0.07262301240194509,0.574,3.2575089000000004,3.080600000000004,0.08592685087049706,0.08592685087049706,0.027,266.5565769672394,48.67658734321594
