,Method,MSE,Med MSE,SINGLE 1 Avg Regret,SINGLE 1 Med Regret,SINGLE 1 Avg Relative Regret,SINGLE 1 Med Relative Regret,SINGLE 1 Optimality Rate,SINGLE 2 Avg Regret,SINGLE 2 Med Regret,SINGLE 2 Avg Relative Regret,SINGLE 2 Med Relative Regret,SINGLE 2 Optimality Rate,SINGLE 3 Avg Regret,SINGLE 3 Med Regret,SINGLE 3 Avg Relative Regret,SINGLE 3 Med Relative Regret,SINGLE 3 Optimality Rate,MULTI 1 Avg Regret,MULTI 1 Med Regret,MULTI 1 Avg Relative Regret,MULTI 1 Med Relative Regret,MULTI 1 Optimality Rate,Elapsed,Elapsed Val
0,separated+mse,"[7.919205701604196, 8.410197619970143, 7.781296059181409, 7.302098217279905]","[4.601207098732573, 4.7029297492425535, 4.931260238613881, 4.721549351714277]",4.11,3.0,0.10714285676020407,0.11872400396161385,0.142,4.624,3.0,0.1249999996484375,0.14455894856535736,0.146,4.524,3.0,0.13921188594975847,0.15101671218202486,0.153,4.279,3.0,0.13333333244444445,0.14543957992129666,0.156,27.025625705718994,34.81808042526245
1,comb+mse,11.141537114850879,4.724717942690061,4.422,3.0,0.1253671340852387,0.1253671340852387,0.117,4.327,3.0,0.13626255406097335,0.13626255406097335,0.141,4.298,3.0,0.1431408264293944,0.1431408264293944,0.165,4.139,3.0,0.14421040692965711,0.14421040692965711,0.152,6.95531964302063,13.222582340240479
2,gradnorm+mse,10.875748936067346,4.585284788949169,4.588,3.0,0.12833146507773935,0.12833146507773935,0.114,4.381,3.0,0.13917843202475008,0.13917843202475008,0.141,4.302,3.0,0.1429381880336096,0.1429381880336096,0.167,4.292,3.0,0.14855339043980495,0.14855339043980495,0.15,7.508600234985352,12.150787830352783
