,Method,MSE,Med MSE,SINGLE 1 Avg Regret,SINGLE 1 Med Regret,SINGLE 1 Avg Relative Regret,SINGLE 1 Med Relative Regret,SINGLE 1 Optimality Rate,SINGLE 2 Avg Regret,SINGLE 2 Med Regret,SINGLE 2 Avg Relative Regret,SINGLE 2 Med Relative Regret,SINGLE 2 Optimality Rate,SINGLE 3 Avg Regret,SINGLE 3 Med Regret,SINGLE 3 Avg Relative Regret,SINGLE 3 Med Relative Regret,SINGLE 3 Optimality Rate,MULTI 1 Avg Regret,MULTI 1 Med Regret,MULTI 1 Avg Relative Regret,MULTI 1 Med Relative Regret,MULTI 1 Optimality Rate,Elapsed,Elapsed Val
0,separated,"[335.59468810690544, 339.6820943735654, 339.6947127967478, 344.0907040608731]","[9.818758597434751, 10.227374397373657, 9.58977203940214, 10.45351951393551]",12.501,4.0,0.12244897942523948,0.14370774879261683,0.187,13.413,3.0,0.13733373025136575,0.15189952783092384,0.213,13.957,3.0,0.1357493854029454,0.15877461515457203,0.23,12.663,4.0,0.13636363589876033,0.16036294448030272,0.206,126.06929850578308,113.52941727638245
1,comb,336.73345932196804,9.4557177277709,10.563,3.0,0.1114476371419299,0.1114476371419299,0.246,10.568,2.5,0.12239084761467722,0.12239084761467722,0.26,11.229,2.0,0.1302823947659871,0.1302823947659871,0.263,10.924,3.0,0.13839339585816923,0.13839339585816923,0.237,106.2084333896637,107.11191272735596
2,gradnorm,338.6035454013692,9.508413887398419,10.08,2.0,0.11111956535874941,0.11111956535874941,0.252,10.043,2.0,0.11834941676831044,0.11834941676831044,0.279,11.696,3.0,0.13308039951089656,0.13308039951089656,0.257,10.627,3.0,0.13871110172736167,0.13871110172736167,0.227,87.6164391040802,89.2608630657196
